ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
173,5,INT 8-8-4-8,69.796,0.893,6.46,-0.2964112903225806,0.021459752693772316,18,1.6578947368421053
174,5,INT 8-8-4-4,69.7824,0.991,6.06,-0.2965483870967743,0.024070965126156807,17,1.75
175,5,INT 8-8-8-8,69.7598,0.844,11.46,-0.2967762096774194,0.001036669360473752,20,1.0
176,5,INT 8-8-4-2,69.7534,0.9158,5.86,-0.29684072580645166,0.08847469836473465,16,1.8
177,5,INT 8-8-2-2,69.2028,1.2329,3.36,-0.3023911290322581,0.5255200266838074,9,2.8
178,5,INT 8-8-2-4,69.1702,1.0418,3.56,-0.30271975806451623,0.46111631393432617,10,2.6808510638297873
179,5,INT 8-8-2-8,69.1078,1.2219,3.96,-0.30334879032258066,0.45850512385368347,11,2.4705882352941178
180,5,INT 8-4-4-8,68.8978,1.1168,6.31,-0.3054657258064516,0.1084078699350357,15,1.8394160583941606
181,5,INT 8-4-4-2,68.7124,0.8548,5.71,-0.30733467741935483,0.175422802567482,13,2.016
182,5,INT 8-4-2-8,68.6256,0.7717,3.81,-0.3082096774193548,0.5454532504081726,8,2.896551724137931
183,5,INT 8-4-4-4,68.3088,0.4291,5.91,-0.3114032258064516,0.1110190823674202,14,1.9534883720930232
184,5,INT 8-4-2-4,68.093,0.4292,3.41,-0.313578629032258,0.5480644702911377,7,3.189873417721519
185,5,INT 8-4-2-2,67.9964,0.5699,3.21,-0.3145524193548388,0.6124681830406189,6,3.36
186,5,INT 4-4-4-2,67.5364,1.2095,5.68,-0.3191895161290323,0.3940540552139282,12,2.0655737704918034
187,5,INT 4-4-2-2,66.3852,0.8847,3.18,-0.3307943548387097,0.8310993909835815,5,3.5
188,5,INT 8-2-2-2,63.6856,2.4551,3.135,-0.35800806451612904,2.6748721599578857,3,3.7333333333333334
189,5,INT 8-2-2-4,63.3972,3.0197,3.335,-0.3609153225806452,2.610468626022339,4,3.5244755244755246
190,5,INT 4-2-2-2,62.705,3.9399,3.105,-0.36789314516129035,2.893503427505493,2,3.9069767441860463
191,5,INT 2-2-2-2,58.787,1.4244,3.09,-0.4073891129032258,7.429015159606934,1,4.0
